 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
93,2353,262.593,81.302,15,71,31.931,55.301
94,2342,260.593,81.049,43,10,99.230,54.988
95,2337,259.179,81.216,26,17,127.999,54.829
96,2345,261.179,81.302,30,85,58.069,54.941
97,2343,259.765,81.123,16,28,149.642,54.616
98,2345,261.179,81.154,36,88,67.543,54.688
99,2343,262.007,81.302,15,71,31.931,55.277
100,2343,259.765,81.345,20,77,43.506,54.890
101,2342,261.421,81.302,28,16,121.931,54.869
102,2337,261.765,81.216,26,17,127.999,55.136
103,2346,261.179,81.216,25,18,127.999,55.213
104,2340,260.350,81.154,35,88,67.543,54.407
105,2339,260.593,81.154,12,35,157.543,54.683
106,2349,261.765,81.216,18,25,142.001,55.429
107,2337,261.179,81.302,27,84,58.069,55.219
108,2337,259.179,81.302,15,30,148.069,54.636
109,2344,259.765,81.049,43,10,99.230,54.551
110,2339,262.007,81.345,22,21,133.506,55.104
111,2345,263.179,81.154,13,33,157.543,55.339
112,2341,260.007,81.216,19,76,37.999,54.980
113,2338,260.593,81.154,12,64,22.457,55.024
114,2345,263.179,81.123,14,69,30.358,55.326
115,2351,262.836,81.302,29,85,58.069,55.389
116,2346,260.593,81.049,10,56,9.230,54.813
117,2340,259.179,81.216,18,75,37.999,54.818
118,2354,261.765,81.302,28,84,58.069,55.054
119,2347,262.350,81.345,21,79,46.494,55.218
120,2340,262.007,81.154,13,34,157.543,55.439
121,2342,259.179,81.123,14,70,30.358,54.328
122,2339,260.350,81.049,10,56,9.230,54.407
123,2339,261.765,81.216,25,82,52.001,55.137
124,2342,259.179,81.154,13,33,157.543,54.270
125,2348,261.765,81.123,28,84,59.642,55.122
126,2342,262.007,81.216,24,19,127.999,55.183
127,2345,263.765,81.049,43,10,99.230,54.860
128,2344,259.765,81.302,16,28,148.069,54.695
129,2348,261.765,81.302,16,72,31.931,55.082
130,2342,261.179,81.216,24,81,52.001,55.199
131,2334,258.593,81.123,32,13,120.358,54.496
132,2341,260.350,81.043,37,12,105.751,54.551
133,2346,261.765,81.216,18,75,37.999,55.287
134,2346,259.765,81.123,30,85,59.642,54.406
135,2342,262.007,81.271,16,27,145.528,55.503
136,2341,261.179,81.345,22,21,133.506,54.993
137,2345,261.179,81.049,10,45,170.770,54.983
138,2343,260.593,81.271,16,28,145.528,55.001
139,2334,260.350,81.216,24,82,52.001,54.740
