 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
346,2979,240.108,73.736,20,75,20.647,67.662
347,2984,240.108,73.817,39,88,54.372,67.601
348,2987,240.693,73.878,30,84,39.508,67.475
349,2975,238.794,73.756,15,68,49.399,67.608
350,2994,239.522,73.824,22,78,24.829,67.070
351,2985,238.451,73.736,11,51,159.353,67.600
352,2981,240.108,73.573,12,42,148.903,67.335
353,2988,241.522,73.817,18,27,125.628,67.380
354,2980,240.693,73.824,12,44,151.699,67.352
355,2989,242.108,73.763,53,89,74.268,67.595
356,2975,239.522,73.600,38,12,126.714,67.449
357,2984,237.865,73.600,13,62,36.714,67.452
358,2985,240.693,73.817,27,17,144.372,67.335
359,2982,240.108,73.736,11,50,20.647,67.559
360,2983,239.279,73.736,11,49,159.353,67.376
361,2986,240.451,73.661,17,31,131.698,67.716
362,2979,239.865,73.817,17,29,125.628,67.343
363,2984,240.108,73.783,12,58,32.829,67.258
364,2985,239.865,73.600,27,83,36.714,67.335
365,2982,239.037,73.756,16,69,49.399,67.491
366,2987,238.451,73.783,18,73,57.171,67.094
367,2974,240.108,73.736,20,75,20.647,67.755
368,2982,240.451,73.661,13,64,41.698,67.673
369,2984,239.865,73.682,11,48,18.189,67.560
370,2988,240.108,73.824,20,76,61.699,67.294
371,2993,240.693,73.878,16,69,50.492,67.662
372,2985,239.865,73.661,35,87,48.302,67.604
373,2986,240.693,73.756,13,65,40.601,67.679
374,2988,240.108,73.736,10,50,159.353,67.371
375,2977,238.693,73.783,26,81,32.829,66.729
376,2986,241.279,73.756,13,35,139.399,67.680
377,2983,239.865,73.878,30,16,140.492,67.440
378,2982,240.108,73.600,17,70,53.286,67.612
379,2978,238.693,73.498,19,73,56.094,67.010
380,2985,240.936,73.682,19,25,161.811,67.640
381,2991,239.865,73.824,24,79,28.301,66.729
382,2989,240.693,73.878,16,70,50.492,67.599
383,2986,240.108,73.824,44,12,118.301,67.383
384,2986,238.936,73.926,43,12,120.033,67.000
385,2984,239.279,73.878,30,84,39.508,67.631
386,2984,240.108,73.600,18,71,53.286,67.631
387,2989,239.279,73.926,20,75,59.967,66.703
388,2989,239.865,73.756,31,16,139.399,67.624
389,2991,239.522,73.926,42,12,120.033,67.000
390,2987,239.522,73.817,12,61,35.628,67.647
391,2983,239.279,73.600,29,84,36.714,67.499
392,2985,240.108,73.736,24,21,110.647,67.524
393,2981,239.279,73.736,24,80,69.353,67.421
394,2979,239.037,73.824,11,56,28.301,66.743
395,2989,239.865,73.756,37,13,130.601,67.673
396,2985,239.865,73.756,31,17,139.399,67.819
397,2976,238.794,73.756,31,16,139.399,67.523
398,2988,240.693,73.926,21,23,156.903,67.779
399,2985,239.865,73.817,12,61,35.628,67.109
400,2979,239.522,73.817,40,12,125.628,67.549
401,2992,238.693,73.824,23,78,24.829,67.186
402,2984,239.279,73.756,36,13,130.601,67.378
403,2988,240.108,73.600,12,62,36.714,67.641
404,2981,240.108,73.736,49,89,69.353,67.596
405,2983,238.693,73.817,28,17,144.372,67.540
406,2980,239.865,73.824,24,80,28.301,67.323
407,2990,240.108,73.736,11,49,159.353,67.818
408,2979,240.108,73.600,11,61,36.714,67.745
409,2989,240.693,73.878,13,36,140.492,67.650
410,2975,238.451,73.682,11,49,18.189,67.391
411,2991,240.693,73.600,18,71,53.286,67.699
412,2991,240.108,73.926,10,52,23.097,67.317
413,2989,239.279,73.817,12,60,35.628,67.030
414,2984,239.279,73.682,26,81,71.811,67.619
415,2986,238.451,73.756,35,14,130.601,67.421
416,2983,240.108,73.824,22,77,24.829,67.620
417,2982,238.693,73.824,22,78,65.171,67.452
418,2978,240.108,73.600,40,11,126.714,67.550
419,2985,239.037,73.824,47,11,114.829,67.430
420,2983,239.865,73.498,26,18,104.982,67.670
421,2991,239.279,73.783,11,59,32.829,67.115
422,2984,241.279,73.756,31,16,139.399,67.673
423,2991,239.037,73.756,31,84,40.601,67.608
424,2982,240.693,73.817,18,73,54.372,67.540
425,2981,240.108,73.783,19,26,122.829,67.051
426,2979,237.279,73.824,11,44,151.699,66.714
427,2982,239.279,73.600,29,83,36.714,67.495
428,2994,239.865,73.783,26,19,147.171,66.736
429,2988,241.522,73.756,35,13,130.601,67.618
430,2985,239.865,73.661,32,15,138.302,67.609
431,2981,240.108,73.756,35,86,49.399,67.245
432,2979,239.279,73.600,16,71,53.286,67.606
433,2980,239.279,73.600,29,84,36.714,67.551
434,2982,240.451,73.756,13,63,40.601,67.567
435,2984,239.279,73.736,20,75,20.647,67.371
436,2987,240.936,73.817,39,13,125.628,67.606
437,2984,242.108,73.661,35,13,131.698,67.791
438,2991,239.865,73.824,22,77,61.699,67.352
439,2981,239.279,73.790,21,23,116.565,67.211
440,2978,240.108,73.736,20,75,20.647,67.600
441,2987,239.279,73.817,18,72,54.372,67.524
442,2991,239.865,73.926,11,57,30.033,66.687
443,2984,240.350,73.573,25,19,148.903,67.600
444,2988,239.279,73.878,31,15,140.492,67.732
445,2986,240.451,73.790,11,46,153.435,67.162
446,2988,239.279,73.783,26,19,147.171,67.294
447,2984,239.279,73.498,53,11,104.982,67.624
448,2984,239.865,73.878,30,17,140.492,67.454
449,2985,239.522,73.573,11,43,148.903,67.340
450,2986,240.108,73.600,29,17,143.286,67.731
451,2983,241.522,73.878,16,31,129.508,67.600
452,2982,240.108,73.600,17,71,53.286,67.524
453,2978,240.451,73.878,13,63,39.508,67.619
454,2980,239.279,73.736,49,11,110.647,67.317
455,2983,240.693,73.756,32,15,139.399,67.523
456,2985,239.865,73.756,16,69,49.399,67.624
457,2988,239.279,73.817,11,59,35.628,67.159
458,2983,239.865,73.573,19,26,121.097,66.719
459,2982,240.108,73.736,48,89,69.353,67.745
460,2981,240.350,73.682,19,25,161.811,67.391
461,2986,240.108,73.600,13,62,36.714,67.343
462,2988,238.693,73.926,11,44,149.967,66.719
463,2980,239.522,73.817,13,61,35.628,67.646
464,2983,240.451,73.661,32,15,138.302,67.655
465,2976,237.865,73.573,11,43,148.903,66.695
466,2980,240.108,73.763,53,11,105.732,67.175
467,2985,239.865,73.824,21,76,61.699,67.000
468,2981,239.279,73.736,19,75,20.647,67.738
469,2988,240.108,73.926,43,12,120.033,67.284
470,2980,239.865,73.600,18,72,53.286,67.679
471,2988,241.522,73.756,14,65,40.601,67.582
472,2982,240.451,73.756,12,63,40.601,67.673
473,2981,239.865,73.878,15,30,129.508,67.404
474,2981,240.936,73.573,19,25,121.097,67.586
475,2979,237.622,73.783,11,58,32.829,66.509
476,2980,239.865,73.878,14,63,39.508,67.495
477,2982,239.279,73.736,50,90,69.353,67.458
478,2985,239.279,73.783,26,18,147.171,67.000
479,2992,239.865,73.824,10,47,155.171,67.162
480,2982,239.865,73.926,25,20,149.967,66.703
481,2985,238.693,73.824,24,78,28.301,66.703
482,2988,240.350,73.783,18,74,57.171,67.619
483,2985,239.279,73.736,11,50,159.353,67.519
484,2990,239.865,73.878,31,85,39.508,67.717
485,2987,237.622,73.824,23,79,24.829,67.030
486,2988,239.279,73.824,24,79,28.301,66.729
487,2981,241.279,73.878,13,36,140.492,67.722
488,2982,237.865,73.573,25,19,148.903,66.719
489,2992,240.108,73.817,13,60,35.628,67.115
490,2983,240.108,73.736,24,80,69.353,67.559
491,2987,239.865,73.817,18,72,54.372,67.317
492,2990,240.693,73.824,24,21,151.699,67.000
493,2990,240.693,73.817,40,12,125.628,67.620
494,2984,239.279,73.817,39,12,125.628,67.404
495,2978,239.037,73.824,11,44,151.699,66.743
496,2987,241.522,73.817,28,17,144.372,67.592
497,2983,239.865,73.756,15,68,49.399,67.704
498,2987,240.451,73.756,31,16,139.399,67.795
499,2988,240.108,73.600,29,83,36.714,67.681
500,2989,240.693,73.600,16,71,53.286,67.592
501,2983,240.108,73.824,22,77,24.829,67.479
502,2983,239.865,73.756,12,37,139.399,67.650
503,2979,240.936,73.410,30,83,37.807,67.790
504,2983,238.693,73.546,29,84,78.232,67.805
505,2980,238.451,73.824,48,10,114.829,67.030
506,2981,240.451,73.756,15,69,49.399,67.491
507,2986,240.451,73.756,30,17,139.399,67.641
508,2977,240.936,73.546,17,70,11.768,67.530
509,2989,240.108,73.600,12,61,36.714,67.740
510,2988,240.108,73.824,22,22,114.829,67.452
511,2985,239.865,74.027,29,17,141.582,67.285
512,2990,241.279,73.878,37,13,129.508,67.808
513,2991,239.865,73.824,45,11,118.301,67.352
514,2989,237.865,73.600,38,12,126.714,67.641
515,2983,237.865,73.824,11,47,155.171,67.452
516,2989,240.693,73.600,38,88,53.286,67.717
517,2983,240.108,73.736,10,50,159.353,67.548
518,2981,239.865,73.878,17,71,50.492,67.437
519,2984,238.693,73.600,29,82,36.714,67.519
520,2990,239.279,73.756,11,56,167.471,67.547
521,2982,240.108,73.546,16,70,11.768,67.732
522,2978,240.451,73.763,11,47,15.732,67.556
523,2986,240.108,73.682,31,15,97.800,67.550
524,2985,239.865,73.824,44,11,118.301,67.000
525,2988,239.865,73.878,17,71,50.492,67.437
526,2989,240.936,73.817,27,82,35.628,67.760
527,2985,239.037,73.756,16,69,49.399,67.491
528,2986,240.693,73.783,42,88,57.171,67.000
529,2982,239.279,73.824,23,78,24.829,66.967
530,2981,239.279,73.878,30,16,140.492,67.568
531,2988,239.279,73.817,40,12,125.628,67.524
532,2983,240.693,73.682,25,19,108.189,67.609
533,2978,240.108,73.498,18,73,14.982,67.558
534,2986,240.350,73.824,11,45,151.699,67.614
535,2992,239.865,73.756,30,17,139.399,67.729
536,2989,240.108,73.824,21,77,65.171,67.299
537,2986,240.108,73.736,48,11,110.647,67.814
538,2985,240.693,73.926,12,43,149.967,67.284
539,2985,237.865,73.926,11,44,149.967,66.726
540,2987,240.693,73.756,31,16,139.399,67.756
541,2984,238.451,73.539,23,20,112.380,67.638
542,2983,240.693,73.817,28,17,144.372,67.115
543,2980,239.279,73.682,25,81,71.811,67.435
544,2986,239.279,73.783,12,41,147.171,67.323
545,2982,240.936,73.498,53,12,104.982,67.421
546,2987,240.693,73.824,20,76,61.699,67.323
547,2984,240.108,73.600,39,88,53.286,67.475
548,2987,240.693,73.878,30,84,39.508,67.497
549,2986,240.108,73.817,39,12,125.628,67.731
550,2988,240.936,73.817,28,19,144.372,67.550
551,2985,240.108,73.756,54,11,102.529,67.403
552,2981,240.108,73.546,55,11,101.768,67.544
553,2983,238.451,73.756,13,36,139.399,67.491
