Angle	Area	AreaStd	ImageJ	ImageJStd	Crofton2	Crofton2Std	Crofton4	Crofton4Std
167.000	10000.025	  3.406	424.440	  0.997	376.086	  0.989	403.505	  0.945
167.500	9999.995	  1.203	423.779	  0.525	374.041	  0.533	402.879	  0.497
168.000	10000.012	  0.988	423.132	  0.708	371.988	  1.039	402.265	  0.671
168.500	10000.025	  0.980	422.412	  0.466	369.819	  0.860	401.582	  0.442
169.000	9999.993	  1.708	421.708	  0.793	367.763	  0.615	400.915	  0.752
169.500	9999.984	  0.985	420.905	  1.292	365.568	  1.129	400.153	  1.225
170.000	9999.927	  2.975	420.102	  1.184	363.372	  1.090	399.392	  1.122
170.500	10000.138	  6.300	419.302	  0.661	361.200	  0.549	398.634	  0.627
171.000	9999.981	  1.070	418.432	  0.742	358.930	  0.935	397.809	  0.704
171.500	9999.981	  0.980	417.564	  0.696	356.685	  1.056	396.986	  0.660
172.000	10000.047	  0.770	416.641	  0.403	354.403	  0.776	396.111	  0.382
172.500	9999.994	  1.348	415.666	  0.766	352.066	  0.598	395.187	  0.726
173.000	9999.985	  1.393	414.712	  1.213	349.741	  1.078	394.282	  1.150
173.500	9999.962	  1.800	413.685	  1.088	347.345	  1.072	393.308	  1.032
174.000	9999.988	  3.533	412.649	  0.865	344.980	  0.894	392.327	  0.820
174.500	10000.105	  2.230	411.550	  0.369	342.511	  0.367	391.285	  0.350
175.000	9999.994	  2.105	410.431	  0.852	340.057	  0.961	390.224	  0.807
175.500	9999.943	  1.382	409.343	  1.041	337.624	  1.114	389.192	  0.987
176.000	10000.086	  0.777	408.028	  1.175	334.993	  1.120	387.946	  1.114
176.500	9999.982	  1.120	406.934	  1.020	332.558	  0.830	386.909	  0.967
177.000	9999.864	  2.705	405.720	  0.512	330.038	  0.490	385.758	  0.485
177.500	9999.958	  1.795	404.439	  0.635	327.432	  0.897	384.543	  0.602
178.000	9999.977	  1.370	403.172	  0.642	324.866	  1.033	383.341	  0.609
178.500	10000.038	  1.342	401.810	  0.645	322.194	  1.063	382.051	  0.611
179.000	9999.979	  0.811	400.486	  0.554	319.577	  0.983	380.795	  0.525
179.500	10000.005	  0.690	399.085	  0.407	316.880	  0.741	379.467	  0.386
180.000	10000.000	  0.000	397.657	  0.000	314.159	  0.000	378.113	  0.000
