Radius	Area	AreaStd	ImageJ	ImageJStd	Crofton2	Crofton2Std	Crofton4	Crofton4Std
 55.050	9520.803	  4.275	363.079	  0.522	345.891	  0.672	345.887	  0.494
 55.100	9538.121	  3.980	363.428	  0.561	346.226	  0.906	346.217	  0.532
 55.150	9555.370	  4.358	363.768	  0.558	346.579	  1.039	346.540	  0.529
 55.200	9572.296	  4.223	364.028	  0.623	346.756	  1.085	346.786	  0.591
 55.250	9589.963	  4.489	364.406	  0.694	347.133	  1.129	347.145	  0.658
 55.300	9607.008	  5.319	364.703	  0.686	347.448	  1.051	347.426	  0.650
 55.350	9624.399	  6.016	365.036	  0.667	347.707	  1.047	347.742	  0.632
 55.400	9642.093	  6.662	365.396	  0.617	348.071	  0.911	348.083	  0.585
 55.450	9659.470	  6.144	365.721	  0.451	348.384	  0.687	348.391	  0.428
 55.500	9676.771	  4.789	366.053	  0.149	348.711	  0.099	348.706	  0.141
 55.550	9694.312	  3.477	366.388	  0.428	349.006	  0.629	349.024	  0.406
 55.600	9711.882	  3.531	366.728	  0.602	349.362	  0.869	349.346	  0.571
 55.650	9729.356	  3.913	367.061	  0.681	349.644	  1.011	349.662	  0.645
 55.700	9746.736	  4.278	367.380	  0.707	349.981	  1.101	349.964	  0.670
 55.750	9764.263	  5.204	367.727	  0.692	350.289	  1.074	350.294	  0.656
 55.800	9781.633	  6.172	368.010	  0.674	350.558	  1.094	350.561	  0.639
 55.850	9798.937	  6.483	368.356	  0.584	350.878	  1.060	350.889	  0.554
 55.900	9816.618	  6.155	368.710	  0.529	351.238	  0.904	351.225	  0.501
 55.950	9834.328	  5.490	369.017	  0.488	351.524	  0.677	351.516	  0.463
 56.000	9852.021	  4.484	369.360	  0.400	351.857	  0.050	351.841	  0.379
 56.050	9869.708	  4.390	369.713	  0.547	352.169	  0.672	352.176	  0.518
 56.100	9887.149	  4.507	370.015	  0.612	352.479	  0.899	352.462	  0.580
 56.150	9904.833	  4.207	370.367	  0.622	352.828	  1.009	352.796	  0.589
 56.200	9922.614	  4.487	370.687	  0.611	353.102	  1.105	353.099	  0.579
 56.250	9939.939	  5.027	371.021	  0.634	353.413	  1.104	353.416	  0.601
 56.300	9957.828	  5.423	371.356	  0.671	353.726	  1.077	353.734	  0.637
 56.350	9975.352	  5.817	371.671	  0.702	354.018	  1.050	354.032	  0.666
 56.400	9993.257	  6.160	372.010	  0.647	354.359	  0.894	354.354	  0.613
 56.450	10010.909	  6.254	372.342	  0.538	354.673	  0.675	354.669	  0.510
 56.500	10028.634	  5.636	372.679	  0.342	354.994	  0.099	354.988	  0.325
 56.550	10046.608	  4.541	373.017	  0.390	355.314	  0.663	355.309	  0.369
 56.600	10064.310	  3.427	373.355	  0.532	355.625	  0.883	355.628	  0.504
 56.650	10081.871	  3.024	373.680	  0.615	355.936	  1.010	355.937	  0.583
 56.700	10099.941	  4.423	373.998	  0.682	356.250	  1.069	356.239	  0.646
 56.750	10117.510	  4.945	374.306	  0.691	356.564	  1.082	356.530	  0.655
 56.800	10135.833	  5.790	374.715	  0.704	356.932	  1.056	356.918	  0.668
 56.850	10153.562	  6.304	375.023	  0.636	357.210	  1.030	357.211	  0.603
 56.900	10171.484	  6.234	375.356	  0.504	357.548	  0.862	357.526	  0.478
 56.950	10189.307	  5.949	375.677	  0.410	357.826	  0.660	357.831	  0.389
 57.000	10207.013	  4.890	375.984	  0.337	358.134	  0.111	358.121	  0.320
 57.050	10225.160	  3.743	376.337	  0.543	358.445	  0.681	358.455	  0.515
 57.100	10242.802	  3.599	376.641	  0.619	358.729	  0.867	358.744	  0.587
 57.150	10260.975	  4.331	377.019	  0.658	359.108	  1.005	359.103	  0.623
 57.200	10278.673	  5.297	377.299	  0.670	359.342	  1.064	359.368	  0.635
 57.250	10296.577	  5.280	377.633	  0.618	359.664	  1.098	359.685	  0.585
 57.300	10314.695	  5.173	377.967	  0.609	360.008	  1.094	360.001	  0.577
 57.350	10332.838	  6.059	378.324	  0.634	360.323	  1.042	360.340	  0.601
 57.400	10350.847	  6.001	378.655	  0.616	360.649	  0.898	360.653	  0.584
 57.450	10368.580	  5.839	378.962	  0.549	360.960	  0.670	360.944	  0.521
 57.500	10387.046	  5.181	379.327	  0.400	361.280	  0.070	361.290	  0.379
 57.550	10404.530	  4.613	379.608	  0.490	361.575	  0.654	361.557	  0.464
 57.600	10422.861	  4.141	379.953	  0.512	361.882	  0.858	361.884	  0.486
 57.650	10441.035	  3.964	380.273	  0.561	362.163	  0.992	362.188	  0.532
 57.700	10459.079	  4.112	380.616	  0.650	362.491	  1.068	362.513	  0.617
 57.750	10477.386	  4.713	380.947	  0.716	362.860	  1.148	362.827	  0.679
 57.800	10495.495	  5.784	381.281	  0.697	363.181	  1.096	363.143	  0.661
 57.850	10513.646	  6.465	381.615	  0.681	363.485	  1.038	363.460	  0.645
 57.900	10532.000	  6.267	381.993	  0.570	363.828	  0.863	363.818	  0.540
 57.950	10550.461	  5.870	382.312	  0.406	364.134	  0.642	364.121	  0.385
 58.000	10568.462	  4.938	382.623	  0.166	364.422	  0.070	364.415	  0.158
 58.050	10586.398	  3.845	382.965	  0.501	364.777	  0.703	364.739	  0.475
 58.100	10604.772	  3.680	383.278	  0.602	365.072	  0.881	365.037	  0.571
 58.150	10623.100	  3.864	383.645	  0.694	365.402	  1.041	365.384	  0.658
 58.200	10641.015	  4.569	383.927	  0.700	365.674	  1.083	365.652	  0.664
 58.250	10659.346	  5.196	384.262	  0.686	365.988	  1.094	365.969	  0.651
 58.300	10678.007	  6.399	384.636	  0.619	366.362	  1.076	366.324	  0.587
 58.350	10696.372	  6.139	384.940	  0.557	366.610	  1.014	366.612	  0.528
 58.400	10714.450	  5.730	385.273	  0.597	366.913	  0.928	366.928	  0.566
 58.450	10732.713	  5.708	385.581	  0.532	367.225	  0.688	367.220	  0.504
 58.500	10751.514	  5.062	385.933	  0.401	367.563	  0.070	367.554	  0.380
 58.550	10769.756	  4.661	386.287	  0.536	367.888	  0.657	367.889	  0.508
 58.600	10788.320	  4.192	386.590	  0.595	368.181	  0.895	368.176	  0.564
 58.650	10806.650	  4.392	386.934	  0.591	368.501	  1.000	368.503	  0.560
 58.700	10825.066	  4.269	387.270	  0.595	368.832	  1.089	368.821	  0.564
 58.750	10843.645	  4.856	387.620	  0.664	369.208	  1.076	369.153	  0.630
 58.800	10862.101	  5.619	387.961	  0.695	369.502	  1.075	369.476	  0.659
 58.850	10880.444	  5.885	388.288	  0.680	369.783	  0.997	369.786	  0.644
 58.900	10898.829	  6.454	388.593	  0.627	370.061	  0.881	370.075	  0.595
 58.950	10917.300	  6.371	388.932	  0.505	370.419	  0.621	370.397	  0.479
 59.000	10936.068	  5.679	389.255	  0.279	370.708	  0.000	370.703	  0.264
 59.050	10954.504	  4.005	389.577	  0.358	371.014	  0.657	371.009	  0.339
 59.100	10973.250	  3.114	389.919	  0.569	371.289	  0.851	371.333	  0.539
 59.150	10991.486	  3.527	390.258	  0.646	371.688	  1.048	371.654	  0.612
 59.200	11009.902	  4.585	390.550	  0.718	371.947	  1.105	371.931	  0.681
 59.250	11028.910	  5.587	390.906	  0.707	372.288	  1.096	372.268	  0.671
 59.300	11047.602	  5.816	391.252	  0.671	372.620	  1.082	372.597	  0.636
 59.350	11066.263	  5.808	391.597	  0.567	372.904	  0.966	372.923	  0.538
 59.400	11084.687	  6.472	391.904	  0.480	373.218	  0.901	373.214	  0.455
 59.450	11103.412	  5.704	392.231	  0.448	373.557	  0.643	373.525	  0.425
 59.500	11121.987	  4.618	392.568	  0.380	373.842	  0.111	373.843	  0.360
 59.550	11140.823	  4.110	392.877	  0.519	374.124	  0.629	374.137	  0.492
 59.600	11159.310	  4.256	393.213	  0.602	374.484	  0.876	374.456	  0.571
 59.650	11177.894	  4.749	393.551	  0.645	374.768	  1.007	374.776	  0.612
 59.700	11197.045	  4.915	393.886	  0.640	375.078	  1.098	375.093	  0.606
 59.750	11216.055	  5.267	394.250	  0.593	375.472	  1.113	375.438	  0.562
 59.800	11234.449	  5.284	394.537	  0.634	375.712	  1.081	375.711	  0.601
