Angle	Area	AreaStd	AreaMin	AreaMax	ImageJ	ImageJStd	ImageJMin	ImageJMax	Crofton2	Crofton2Std	Crofton2Min	Crofton2Max	Crofton4	Crofton4Std	Crofton4Min	Crofton4Max
  6.500	  0.001	  0.019	 -0.040	  0.050	  3.300	  0.291	  2.824	  3.824	-13.155	  0.281	-13.606	-12.821	 -1.663	  0.269	 -2.100	 -1.152
  7.000	 -0.000	  0.014	 -0.050	  0.040	  3.563	  0.328	  3.238	  4.238	-12.557	  0.270	-12.821	-12.035	 -1.419	  0.289	 -1.707	 -0.759
  7.500	  0.001	  0.013	 -0.040	  0.030	  3.795	  0.224	  3.653	  4.799	-11.981	  0.153	-12.035	-11.250	 -1.197	  0.185	 -1.315	 -0.367
  8.000	 -0.000	  0.008	 -0.030	  0.010	  4.036	  0.128	  3.653	  4.506	-11.398	  0.194	-12.035	-11.250	 -0.971	  0.100	 -1.315	 -0.644
  8.500	 -0.000	  0.010	 -0.020	  0.030	  4.263	  0.197	  3.920	  4.627	-10.831	  0.265	-11.250	-10.465	 -0.759	  0.168	 -1.061	 -0.529
  9.000	 -0.000	  0.011	 -0.030	  0.030	  4.499	  0.223	  4.188	  5.042	-10.252	  0.245	-10.465	 -9.679	 -0.536	  0.182	 -0.807	 -0.137
  9.500	 -0.001	  0.061	 -0.120	  0.150	  4.708	  0.175	  3.895	  5.249	 -9.699	  0.136	-10.465	 -9.287	 -0.337	  0.160	 -1.085	  0.060
 10.000	  0.001	  0.031	 -0.050	  0.100	  4.916	  0.290	  4.309	  5.309	 -9.147	  0.261	 -9.679	 -8.894	 -0.140	  0.264	 -0.692	  0.256
 10.500	 -0.000	  0.010	 -0.020	  0.030	  5.113	  0.343	  4.724	  5.870	 -8.602	  0.275	 -8.894	 -8.108	  0.045	  0.300	 -0.299	  0.649
 11.000	 -0.000	  0.017	 -0.030	  0.040	  5.298	  0.206	  5.138	  6.284	 -8.071	  0.125	 -8.108	 -7.323	  0.219	  0.165	  0.093	  1.041
 11.500	 -0.000	  0.010	 -0.020	  0.020	  5.483	  0.148	  4.991	  5.698	 -7.545	  0.221	 -8.108	 -7.323	  0.394	  0.115	 -0.045	  0.486
 12.000	  0.000	  0.010	 -0.030	  0.020	  5.665	  0.211	  5.259	  6.113	 -7.003	  0.265	 -7.323	 -6.538	  0.567	  0.172	  0.208	  0.879
 12.500	  0.000	  0.012	 -0.040	  0.030	  5.834	  0.151	  5.673	  6.527	 -6.485	  0.138	 -6.538	 -5.752	  0.727	  0.128	  0.601	  1.272
 13.000	 -0.000	  0.034	 -0.050	  0.150	  5.978	  0.272	  5.380	  6.380	 -5.991	  0.253	 -6.538	 -5.752	  0.863	  0.244	  0.323	  1.272
 13.500	  0.000	  0.009	 -0.030	  0.020	  6.167	  0.299	  5.795	  6.795	 -5.460	  0.241	 -5.752	 -4.967	  1.034	  0.252	  0.716	  1.664
 14.000	  0.002	  0.123	 -0.160	  0.340	  6.287	  0.137	  5.795	  6.855	 -4.975	  0.115	 -5.752	 -4.574	  1.150	  0.105	  0.716	  1.583
 14.500	 -0.001	  0.015	 -0.040	  0.040	  6.428	  0.232	  6.062	  6.770	 -4.487	  0.287	 -4.967	 -4.181	  1.282	  0.194	  0.970	  1.502
 15.000	 -0.001	  0.010	 -0.020	  0.030	  6.551	  0.251	  6.330	  7.184	 -4.006	  0.246	 -4.181	 -3.396	  1.398	  0.199	  1.224	  1.894
 15.500	 -0.001	  0.009	 -0.030	  0.030	  6.676	  0.179	  6.037	  6.891	 -3.530	  0.190	 -4.181	 -3.396	  1.513	  0.140	  0.946	  1.617
 16.000	  0.000	  0.006	 -0.010	  0.020	  6.782	  0.186	  6.452	  7.159	 -3.062	  0.193	 -3.396	 -2.611	  1.617	  0.146	  1.339	  2.009
 16.500	 -0.000	  0.005	 -0.010	  0.020	  6.885	  0.168	  6.452	  7.366	 -2.607	  0.216	 -3.396	 -2.218	  1.714	  0.138	  1.339	  2.067
 17.000	 -0.001	  0.011	 -0.030	  0.030	  6.962	  0.338	  6.280	  7.426	 -2.167	  0.332	 -2.611	 -1.825	  1.785	  0.293	  1.176	  2.124
 17.500	 -0.000	  0.009	 -0.030	  0.030	  7.090	  0.312	  6.694	  7.841	 -1.691	  0.266	 -1.825	 -1.040	  1.902	  0.261	  1.569	  2.517
 18.000	  0.001	  0.018	 -0.040	  0.040	  7.150	  0.168	  6.694	  7.548	 -1.272	  0.194	 -1.825	 -1.040	  1.961	  0.130	  1.569	  2.239
 18.500	  0.000	  0.112	 -0.150	  0.270	  7.217	  0.193	  6.962	  7.669	 -0.839	  0.219	 -1.040	 -0.254	  2.024	  0.157	  1.823	  2.354
 19.000	 -0.001	  0.013	 -0.040	  0.040	  7.278	  0.277	  6.523	  7.876	 -0.414	  0.241	 -1.040	  0.138	  2.081	  0.247	  1.406	  2.551
 19.500	 -0.000	  0.010	 -0.030	  0.040	  7.333	  0.299	  6.937	  8.083	  0.003	  0.226	 -0.254	  0.531	  2.133	  0.248	  1.799	  2.747
