Radius	Area	AreaStd	AreaMin	AreaMax	ImageJ	ImageJStd	ImageJMin	ImageJMax	Crofton2	Crofton2Std	Crofton2Min	Crofton2Max	Crofton4	Crofton4Std	Crofton4Min	Crofton4Max
 44.300	 -0.004	  0.071	 -0.184	  0.173	  4.840	  0.254	  4.364	  5.170	 -0.017	  0.391	 -0.677	  0.451	 -0.006	  0.241	 -0.458	  0.306
 44.350	  0.005	  0.082	 -0.247	  0.157	  4.859	  0.235	  4.246	  5.261	  0.024	  0.360	 -0.789	  0.338	  0.010	  0.223	 -0.570	  0.392
 44.400	 -0.001	  0.093	 -0.326	  0.158	  4.844	  0.236	  4.129	  5.143	 -0.003	  0.335	 -0.901	  0.225	 -0.005	  0.224	 -0.682	  0.279
 44.450	 -0.002	  0.090	 -0.438	  0.223	  4.844	  0.181	  4.012	  5.025	 -0.003	  0.242	 -1.012	  0.112	 -0.005	  0.171	 -0.794	  0.166
 44.500	 -0.002	  0.078	 -0.581	  0.126	  4.847	  0.106	  4.191	  4.907	 -0.003	  0.040	 -0.562	  0.000	 -0.003	  0.101	 -0.625	  0.054
 44.550	 -0.001	  0.055	 -0.211	  0.142	  4.849	  0.131	  4.580	  5.590	 -0.000	  0.242	 -0.112	  1.010	 -0.002	  0.124	 -0.257	  0.701
 44.600	  0.000	  0.045	 -0.098	  0.142	  4.854	  0.203	  4.671	  5.681	 -0.002	  0.321	 -0.224	  0.897	  0.002	  0.193	 -0.171	  0.786
 44.650	  0.001	  0.049	 -0.098	  0.253	  4.847	  0.225	  4.554	  5.562	 -0.004	  0.353	 -0.336	  0.784	 -0.005	  0.213	 -0.283	  0.673
 44.700	 -0.001	  0.064	 -0.114	  0.236	  4.860	  0.249	  4.437	  5.444	  0.013	  0.388	 -0.447	  0.671	  0.007	  0.236	 -0.394	  0.561
 44.750	  0.001	  0.073	 -0.147	  0.251	  4.854	  0.256	  4.529	  5.327	 -0.009	  0.408	 -0.559	  0.559	  0.000	  0.243	 -0.308	  0.448
 44.800	  0.002	  0.082	 -0.132	  0.233	  4.850	  0.247	  4.412	  5.209	 -0.002	  0.381	 -0.670	  0.446	 -0.004	  0.234	 -0.419	  0.336
 44.850	 -0.001	  0.092	 -0.149	  0.200	  4.850	  0.222	  4.382	  5.092	 -0.002	  0.351	 -0.780	  0.334	 -0.004	  0.210	 -0.448	  0.224
 44.900	 -0.000	  0.090	 -0.260	  0.198	  4.846	  0.170	  4.387	  4.975	 -0.012	  0.317	 -0.891	  0.223	 -0.009	  0.161	 -0.444	  0.113
 44.950	  0.001	  0.075	 -0.183	  0.148	  4.859	  0.152	  4.271	  5.273	  0.005	  0.230	 -1.001	  0.111	  0.002	  0.144	 -0.555	  0.395
 45.000	  0.005	  0.060	 -0.184	  0.177	  4.858	  0.128	  4.448	  5.156	 -0.001	  0.018	 -0.556	  0.000	  0.001	  0.121	 -0.387	  0.283
 45.050	  0.002	  0.055	 -0.186	  0.128	  4.860	  0.191	  4.625	  5.332	 -0.001	  0.238	 -0.111	  0.999	  0.002	  0.181	 -0.221	  0.449
